-2.0, -0.5, -0.5, 0.01
-2.0, -0.5, -0.5, 0.01
-2.0, -0.5, -0.5, 0.01
-2.0, -0.5, -0.5, 0.01
-2.0, -0.5, -0.5, 0.01
-2.0, -0.5, -0.5, 0.01
-2.0, -0.5, -0.5, 0.01
-2.0, -0.5, -0.5, 0.01
-2.0, -0.5, -0.5, 0.01
-2.0, -0.5, -0.5, 0.01
-2.0, -0.5, -0.5, 0.01
-2.0, -0.5, -0.5, 0.01
-2.0, -0.5, -0.5, 0.01
